机场三字码,机场名称,机场英文名,机场简称,城市名称
LUN,卢萨卡机场,LUSAKA,卢萨卡,卢萨卡
LYP,费萨拉巴德机场,FAISALABAD,费萨拉巴德,费萨拉巴德
MBA,蒙巴萨Moiintl机场,MOI,蒙巴萨莫伊,蒙巴萨
ASU,亚松森机场,SILVIO PETTIROSSI,亚松森,亚松森
BEN,班加西Benina机场,BENINA,班加西,班加西
BGO,卑尔根Flesland机场,FLESLAND,卑尔根,卑尔根
BGW,巴格达机场,AL MUTHANA,巴格达,巴格达
BOG,波哥大Eldorado机场,ELDORADO,波哥大,波哥大
NBO,内罗毕机场,JOMO KENYATTA,内罗毕,内罗毕
OPO,波尔图机场,PORTO,波尔图,波尔图
OSL,奥斯陆机场,OSLO AIRPORT,奥斯陆,奥斯陆
PAP,太子港机场,MAIS GATE,太子港,太子港
PEW,白沙瓦机场,PESHAWAR,白沙瓦,白沙瓦
PTY,巴拿马城Tocumen机场,TOCUMEN,巴拿马城,巴拿马城
KEF,雷克雅未克国际机场,KEFLAVIK,雷克雅未克,雷克亚未克
ORK,科克机场,CORK,科克,科克
BRN,伯尔尼机场,BELP,伯尔尼,伯尔尼
BEY,贝鲁特国际机场,BEIRUT,贝鲁特,贝鲁特
LIM,利马国际机场,J CHAVEZ,利马,利马
BRS,布里斯托尔机场,BRISTOL,布里斯托尔,布里斯托尔
DAM,大马士革国际机场,DAMASCUS,大马士革,大马士革
FAO,法鲁机场,FARO,法鲁,法鲁
GUA,危地巴拉城机场,LA AURORA,危地巴拉城,危地马拉城
LAD,罗安达机场,4 DE FEVEREIRO,罗安达,罗安达
WLG,惠灵顿国际机场,WELLINGTON,惠灵顿,惠灵顿
MDK,姆班达卡机场,MBANDAKA,姆班达卡,姆班达卡
FIH,金沙萨机场,N'DJILI,金沙萨,金沙萨
FKI,基桑加尼机场,KISANGANI,基桑加尼,基桑加尼
JIB,安伯里机场,AMBOULI AIRPORT,安伯里,吉布提
HRE,哈拉雷机场,HARARE,哈拉雷,哈拉雷
SAH,萨那机场,SANA'A,萨那,萨那
SCL,阿图罗梅里诺博尼特兹,ARTURO MERINO BENITE,圣地亚哥,圣地亚哥
MCT,马斯卡特机场,SEEB,马斯卡特,马斯喀特
MSQ,明斯克机场,MINSK  2,明斯克,明斯克
DKR,约夫机场,YOFF,,达喀尔
GBE,塞雷策卡马爵士国际机,SIR SERETSE KHAMA,塞雷策卡马爵士,哈博罗内
UIO,马里斯卡尔苏克雷机场,MARISCAL SUCRE,马里斯卡尔苏克雷,基多
POM,杰克逊机场,JACKSON FIELD,杰克逊,泊特莫尔斯比港
LCA,拉纳卡机场,LARNACA,拉纳卡,拉纳卡(拉纳克斯)
WDH,霍希库塔科国际机场,HOSEA KUTAKO,霍希库塔科,温德和克
MPM,马普托国际机场,MAPUTO,马普托,马普托
NIM,尼亚美机场,NIAMEY,尼亚美,尼亚美
SWA,揭阳潮汕机场,JIEYANG,潮汕,揭阳
LLF,零陵机场,LING LING,零陵,永州
NZH,西郊机场,MANZHOULI,西郊,满洲里
PZI,保安营机场,PAN ZHI HUA BAO AN Y,保安营,攀枝花
WUA,乌海机场,WU HAI,,乌海
ACX,兴义机场,XINGYI,,兴义
AEB,百色机场,BAIS,,百色
JIC,金昌金川机场,JINCHUAN AIRPORT,,金昌
KIJ,新泻机场,NIIGATA,新泻,新泻
NAH,那霸机场,NAHA,那霸,那霸
TKS,德岛机场,TOKUSHIMA,德岛,德岛
KCZ,高知机场,KOCHI,高知,高知
ISG,石垣机场,ISHIGAKI,石垣,石垣
FSZ,静冈机场,SHIZUOKA,静冈,静冈
RNO,里诺坎农国际机场,RENO/TAHOE,里诺坎农,里诺
ELP,埃尔帕索国际机场,EL PASO,埃尔帕索,埃尔帕索
AUS,奥斯汀机场,AUSTIN-BERGSTROM,奥斯汀,奥斯汀
MKE,米切尔国际机场,GENERAL MITCHELL,米切尔,密尔沃基
MCI,堪萨斯城国际机场,KANSAS CITY,堪萨斯城,堪萨斯城
STL,圣路易斯国际机场,LAMBERT-ST. LOUIS,兰姆伯特,圣路易斯
CVG,辛辛那提国际机场,CINCINNATI/NORTHERN ,辛辛那提,辛辛那提
CLE,霍普金斯机场,HOPKINS,克利夫兰,克利夫兰
MSY,新奥尔良莫桑国际机场,LOUIS ARMSTRONG,莫桑,新奥尔良
MCO,奥兰多国际机场,ORLANDO,奥兰多,奥兰多
EYW,基韦斯特国际机场,KEY WEST,基韦斯特,基韦斯特
PHL,费城国际机场,PHILADELPHIA,费城,费城
SBA,圣巴巴拉机场,SANTA BARBARA MUNICI,圣巴巴拉,圣巴巴拉
TUS,图森国际机场,TUCSON,图森,图森
SAT,圣安东尼奥机场,SAN ANTONIO,圣安东尼奥,圣安东尼奥
ABZ,阿伯丁机场,DYCE,阿伯丁,阿伯丁
NQT,诺丁汉机场,NOTTINGHAM,诺丁汉,诺丁汉
YNZ,南洋国际机场,YANCHENG,南洋,盐城
MLE,马累机场,MALE,马累,马累
OOL,黄金海岸机场,COOLANGATTA,黄金海岸,黄金海岸
DAY,詹姆斯考克斯代顿国,JAMES COX DAYTON,詹姆斯考克斯代顿国,代顿
ADB,伊兹密尔机场,ADNAN MENDERES,伊兹密尔,伊兹密尔
AYT,安塔利亚机场,ANTALYA,安塔利亚,安塔利亚
ESB,埃森博卡机场,ESENBOGA,埃森博卡,安卡拉
LGK,兰卡威机场,LANGKAWI,兰卡威,兰卡威
TEN,铜仁大兴机场,TONGREN,大兴,铜仁
USM,苏梅岛机场,KOH SAMUI,苏梅岛,苏梅岛
LIS,里斯本机场,LISBOA,波泰拉,里斯本
MEM,孟菲斯机场,MEMPHIS,孟菲斯,孟菲斯
MAA,金奈机场,CHENNAI,金奈,金奈
LNJ,临沧机场,LINCANG,,临沧
SPN,塞班机场,SAIPAN,塞班,塞班
MSP,SAINT PAUL INTL机场,ST PAUL,圣保罗,明尼阿波利斯
CEB,宿雾机场,MACTAN,宿雾,宿雾
BLQ,博洛尼亚机场,GUGLIELMO MARCONI,博洛尼亚,博洛尼亚
CMH,哥伦布机场,PORT COLUMBUS,哥伦布,哥伦布
YHZ,哈里法克斯机场,HALIFAX,哈里法克斯,哈里法克斯
ADL,阿德来德机场,ADELAIDE,阿德来德,阿德莱德
SUB,泗水机场,JUANDA,泗水,泗水
YEG,埃德蒙顿国际机场 ,EDMONTON,埃德蒙顿,埃德蒙顿
HAJ,汉诺威机场,HANOVER,汉诺威,汉诺威
KUA,关丹机场,KUANTAN,关丹,关丹
SJO,胡安圣玛利亚国际机场,JUAN SANTAMARIA,胡安圣玛利亚,圣何塞
TGU,特古西加尔巴机场,TONCONTIN AIRPORT,特古西加尔巴,特古西加尔巴
ACA,阿卡普尔科国际机场,ALVAREZ INTERNATIONA,阿卡普尔科,阿卡普尔科
GDL,米盖尔伊达尔戈机场,MIGUEL HIDAL,米盖尔希达尔,瓜达拉哈拉
LPB,阿尔托机场,EL ALTO AIRPORT,阿尔托,拉巴斯
BSB,巴西利亚国际机场,BRASILIA INTERNATION,巴西利亚国际,巴西利亚
MAO,埃杜阿多戈梅斯机场,EDUARDO GOMES INTERN,埃杜阿多戈梅斯,马瑙斯
REC,瓜拉拉佩斯国际机场,GUARARAPES,瓜拉拉佩斯,累西腓
NAP,那不勒斯机场,NAPLES,那不勒斯,那不勒斯
TRN,都灵机场,CITTA DI TORINO,都灵,都灵
MLA,马耳他机场,LUQA,马耳他,马耳他
LJU,卢布尔雅那机场,BRNIK,卢布尔雅那,卢布尔雅那
PMI,帕尔马马拉尔克机场,PALMA MALLORCA,帕尔马马拉尔克,帕尔马
AGP,马拉加机场,MALAGA,马拉加,马拉加
BHN,伯明翰机场,BEIHAN,伯明翰,伯明翰
BHX,伯明翰机场,BIRMINGHAM,伯明翰,伯明翰
ALG,阿尔及尔机场,HOUARI BOUMEDIENE,阿尔及尔,阿尔及尔
DLA,杜阿拉机场,DOUALA,杜阿拉,杜阿拉
LBV,利伯维尔机场,LIBREVILLE,利伯维尔,利伯维尔
ACC,阿克拉机场,KOTOKA,阿克拉,阿克拉
CKY,科纳克里机场,CONAKRY,科纳克里,科纳克里
MLW,斯普里格－佩纳机场 ,SPRIGG PAYNE,,蒙罗维亚
ROB,罗伯茨国际机场 ,ROBERTS,,蒙罗维亚
KGL,格雷格尔凯伊班达机场,GREGOIRE KAYIBANDA,格雷格尔凯伊班达,基加利
DUR,路易斯波萨机场,LOUIS BOTHA AIRPORT,路易斯波萨,德班
VIR,维吉尼亚机场,VIRGINIA,,德班
KRT,喀土穆机场,CIVIL,喀土穆,喀土穆
TUN,突尼斯机场,CARTHAGE,突尼斯,突尼斯
EBB,恩德培机场,ENTEBBE,恩德培,恩德培
AMM,阿里亚皇后国际机场,QUEEN ALIA,阿里亚皇后,安曼
OMS,鄂姆斯克机场,OMSK AIRPORT,鄂姆斯克,鄂木斯克
OIT,大分机场,OITA,大分,大分
TAE,大丘机场,DAEGU,大丘,大邱
PRG,布拉格机场,PRAGUE-RUZYNE,布拉格,布拉格
NCL,纽卡斯尔机场,NEWCASTLE,纽卡斯尔,纽卡斯尔
JAX,杰克逊威尔机场,JACKSONVILLE,杰克逊威尔,杰克逊威尔
IND,印第安纳波利斯,INDIANAPOLIS,波利斯,印第安纳波利斯
SDF,路易斯威尔,STANDIFORD FIELD,路易斯威尔,路易斯威尔
ALC,阿里坎特机场,ALICANTE,阿里坎特,阿利坎特
MPL,蒙彼利埃机场,MEDITERRANEE,蒙彼利埃,蒙彼利埃
MME,达勒姆提斯瓦雷机场,DURHAM TEES VALLEY,达勒姆提斯瓦雷,达勒姆提斯瓦雷
LEJ,莱比锡机场,LEIPZIG/HALLE,莱比锡,莱比锡
DUD,达尼丁机场,DUNEDIN,达尼丁,达尼丁
BUF,水牛城,BUFFALO NIAGARA,水牛城,布法罗
WNH,文山普者黑机场,PUZHEHEI,普者黑,文山
KRK,克拉克夫机场,J. PAUL II BALICE,克拉克夫,克拉特夫
OVD,阿斯图里亚斯机场,ASTURIAS,阿斯图里亚斯,阿斯图里亚斯
PSA,比萨机场,GAL GALILEI,比萨,比萨
SJJ,布特米尔机场,BUTMIR,布特米尔,萨拉热窝
SVQ,塞维利亚机场,SEVILLA,塞维利亚,塞维利亚
VLC,瓦伦西亚机场,VALENCIA,瓦伦西亚,瓦伦西亚
TIA,提拉纳机场,RINAS,提拉纳,提拉纳
ECN,厄尔坎机场,ERCAN AIRPORT,厄尔坎,埃阿坎
SXB,恩特扎姆机场,ENTZHEIM,恩特扎姆,斯特拉斯堡
XER,斯特拉斯堡巴士车站,STRASBOURG BUS STATI,,斯特拉斯堡
BLR,班加罗尔机场,HINDUSTAN,班加罗尔,班加罗尔
DAD,岘港机场,DA NANG,岘港,岘港
CGP,吉大港机场,PATENGA,吉大港,吉大港
BRE,不来梅机场,BREMEN,不来梅,不来梅
TLS,吐鲁兹机场,BLAGNAC,布拉格纳,图卢兹
TRV,提鲁瓦南萨普拉姆国际,TRIVANDRUM,提鲁瓦南萨普拉姆,提鲁瓦南萨普拉姆
HYD,海得拉巴机场,BEGUMPET,海得拉巴,海得拉巴
COK,库奇机场,KOCHI,库奇,库奇
REP,暹粒机场,SIEM REAP,吴哥窟,暹粒
AOR,亚罗士打机场,ALOR SETAR,亚罗士打,亚罗士打
JHB,新山机场,SULTAN ISMAIL,新山,新山
KBR,蓬卡兰切帕机场,PENGKALAN CHEPA AIRP,蓬卡兰切帕,哥打巴鲁
BPN,塞平甘机场,SEPINGAN,塞平甘,巴里巴班
MDC,万鸦老机场,SAMRATULANGI,万鸦老,万鸦老
MES,棉兰机场,POLANIA,棉兰,棉兰
LDU,拉哈达图机场,LAHAD DATU AIRPORT,拉哈达图,拉哈达图
SDK,山打根机场,SANDAKAN,山打根,山打根
BTU,民都鲁机场,BINTULU,,民都鲁
KCH,古晋机场,KUCHING,古晋,古晋
LBU,拉布安岛机场,LABUAN,拉布安岛,拉布安
TWU,斗湖机场,TAWAU,斗湖,斗湖
SBW,泗务机场,SIBU,泗务,泗务
BKI,哥打京那巴鲁机场,KOTA KINABALU,基纳巴卢,哥打京那巴鲁
TRS,里雅斯特机场,DEI LEGIONARI,里雅斯特,的里雅斯特
ABE,阿伦敦机场,LEHIGH VALLEY,阿伦敦,阿伦敦
SNA,圣塔安娜机场,JOHN WAYNE,圣塔安娜,圣塔安那
MSN,麦迪逊机场,DANE COUNTY REGIONAL,麦迪逊,麦迪逊
YLW,科罗纳机场,KELOWNA,科罗纳,基洛纳
TPA,坦帕机场,TAMPA,坦帕,坦帕
GEG,斯博肯机场,SPOKANE,斯博肯,斯波坎
DOH,多哈机场,DOHA,多哈,多哈
LEX,莱克星顿机场,BLUE GRASS,莱克星顿,莱克星顿
YFC,弗雷德里克顿机场,FREDERICTON,弗..机场,弗雷德里克顿
BTM,波由特机场,BUTTE,波由特,波由特
KBV,甲米机场,KRABI,甲米,甲米
RDU,罗利机场,RALEIGH/DURHAM,罗利,罗利
KEL,基尔机场,HOLTENAU,基尔,基尔
KTW,卡托维茨机场,PYRZOWICE,卡托维茨,卡托维茨
DTM,多特蒙德机场,DORTMUND,多特蒙德,多特蒙德
DRS,德雷斯顿,DRESDEN,德雷斯顿,德雷斯顿
FDH,腓特烈港机场,FRIEDRICHSHAFEN,腓特烈港,腓特烈港
FMO,蒙斯特机场,MUENSTER,蒙斯特,蒙斯特
ABG,奥格斯堡机场,ABINGDON,奥格斯堡,奥格斯堡
PAD,帕特泊恩机场,PADERBORN,帕特泊恩,帕特泊恩
SKG,萨罗尼奇机场,MAKEDONIA,萨罗尼奇,萨罗尼奇
ZAG,萨格勒布机场,PLESO,萨格勒布,萨格勒布
CTA,卡塔尼亚机场,FONTANAROSSA,卡塔尼亚,卡塔尼亚
VRN,维罗纳机场,VERONA,维罗纳,维罗纳
ORF,诺福克机场,NORFOLK,诺福克,诺福克
COS,科罗拉多斯普林机场,PETERSON FIELD,斯普林,科罗拉多斯普林
OMA,奥马哈机场,EPPLEY AIRFIELD,奥马哈,奥马哈
CAE,哥伦比亚机场,COLUMBIA METROPOLITA,哥伦比亚,哥伦比亚
RMI,里米尼机场,MIRAMARE,里米尼,里米尼
AOI,安科纳机场,FALCONARA,安科纳,安科纳
BRI,巴里机场,PALESE,巴里,巴里
CAG,卡利亚里机场,ELMAS,卡利亚里,卡利亚里
GOA,热那亚机场,CRISTOFORO COLOMBO,热那亚,热那亚
YWG,温尼伯机场,WINNIPEG,温尼伯,温尼伯
OAK,奥克兰机场,METROPOLITAN OAKLAND,奥克兰,奥克兰
DSM,德梅因机场,DES MOINES,德梅因,得梅因
MLI,莫林机场,QUAD-CITY,莫林,莫林
OKC,阿克拉河马城机场,WILL ROGERS,阿克拉河马,俄克拉何马城
AAL,奥尔堡机场,AALBORG,奥尔堡,奥尔堡
YXE,萨斯卡通机场,SASKATOON,萨斯卡通,萨斯卡通
HBA,霍巴特机场,HOBART,霍巴特,霍巴特
WRO,弗罗茨瓦夫机场,STRACHOWICE,弗罗茨瓦夫,弗罗茨瓦夫
BNJ,波恩机场,BONN - OFF-LINE POIN,波恩,波恩
INN,因斯布鲁克机场,KRANEBITTEN,因斯布鲁克,因斯布鲁克
PDG,塔宾机场,TABING AIRPORT,塔宾机场,巴东
DVO,达沃机场,MATI,达沃,达沃
CLT,道格拉斯机场,DOUGLAS,道格拉斯,夏洛特
BWI,巴尔的摩,BALT./WASH.,华盛顿,巴尔的摩
GDN,格但斯克机场,REBIECHOWO,格但斯克,格但斯克
LIL,里尔机场,LESQUIN,里尔,里尔
POZ,波兹南机场,LAWICA,波兹南,波兹南
NWI,诺维奇机场,NORWICH,诺维奇,诺维奇
BHM,伯明翰机场,BIRMINGHAM,伯明翰,伯明翰
PLM,巨港机场,MAHMUD BADARUDDIN II,巨港,巨港
SOC,阿迪苏马尔默机场,ADI SUMARMO,阿迪苏马尔默,梭罗
TRU,特鲁希略机场,TRUJILLO,特鲁希略,特鲁希略
RNS,雷恩机场,ST JACQUES,雷恩,雷恩 
CWL,加帝夫机场,CARDIFF-WALES,加帝夫,加帝夫
KRS,凯捷维克机场,KJEVIK,凯捷维克,克里斯蒂安桑
KKC,孔敬机场,KHON KAEN,孔敬,孔敬
UTH,乌隆机场,UDON THANI,乌隆,乌隆
URT,万伦机场,SURAT THANI,万伦,万伦
HDY,合艾机场,HAT YAI,合艾,合艾
TST,董里机场,TRANG,董里河,董里
GYE,瓜亚基尔机场,SIMON BOLIVAR,瓜亚基尔,瓜亚基尔
NTE,大西洋机场,NANTES ATLANTIQUE,南特,南特
PKG,邦咯岛机场,PANGKOR,邦咯岛,邦咯岛
SRG,三宝拢机场,ACHMAD UANI,三宝拢,三宝拢
HBE,博格埃尔阿拉伯机场,BORG EL ARAB,博格埃尔阿拉伯,亚历山大
ALY,亚历山大机场,EL NOHZA,亚历山大,亚历山大
YIE,伊尔施机场,YIERSHI AIRPORT,伊尔施机场,阿尔山
MYJ,松山机场,MATSUYAMA,松山,松山
LLB,荔波机场,LIBO,,荔波
BLL,比隆机场,BILLUND,毕朗机动,比隆
AJA,阿雅克肖机场,CAMPO DELL ORO,阿雅克肖,阿雅克肖
AVN,阿维尼翁机场,AVIGNON-CAUM,阿维尼翁,亚维侬
BIA,巴斯蒂亚机场,PORETTA,巴斯蒂亚,巴斯蒂亚
BIQ,比亚里茨机场,BIARRITZ PARME,比亚里茨,比亚里茨
CFE,克莱蒙费朗机场,AULNAT,克莱蒙费朗,克莱蒙费朗
CLY,卡尔维机场,SAINTE CATHERINE,卡尔维,卡尔维
ETZ,梅兹南希机场,METZ-NANCY-LORRAINE,梅兹南希,梅兹南希
GNB,格勒诺布尔机场,SAINT GEOIRS,格勒诺布尔,格勒诺布尔
LAI,拉尼永机场,SERVEL,拉尼永,拉尼永
LRT,洛里昂机场,LANN BIHOUE,洛里昂,洛里昂
MLH,米卢斯机场,EURO FRENCH,米卢斯,米卢斯
NCY,安奈斯机场,ANNECY-MEYTHET,安奈斯,安奈斯
PGF,佩皮尼扬机场,LLABANERE,佩皮尼扬,佩皮尼扬
PUF,乌兹恩机场,UZEIN,波城,波城
RDZ,罗德兹机场,MARCILLAC,罗德兹,罗德兹
TLN,土伦机场,HYERES,土伦,土伦
INV,因纹内丝机场,INVERNESS,因纹内丝,因佛内斯
EIN,爱因霍温机场,EINDHOVEN,爱因霍温,爱因霍温
HUY,汉伯塞机场,HUMBERSIDE,汉伯塞,汉伯塞
LBA,利兹机场,LEEDS/BRADFORD,利兹,利兹
TRD,特隆赫姆机场,VAERNES,特隆赫姆,特隆赫姆
TRF,山达霍得机场,SANDEFJORD,山达霍得,奥斯陆
PEE,彼尔姆机场,PERM,彼尔姆,彼尔姆
TLL,塔林机场,ULEMISTE,塔林,塔林
ANE,昂热机场,ARVILLE,昂热,昂热
BES,布雷斯特机场,GUIPAVAS,布雷斯特,布雷斯特
LIG,利摩日机场,BELLEGARDE,利摩日,利摩日
LME,勒芒机场,ARNAGE,勒芒,勒芒
PIS,普瓦捷机场,BIARD,普瓦捷,普瓦捷
UIP,坎佩尔机场,PLUGUFFAN,坎佩尔,坎佩尔
VGO,维哥机场,VIGO,维哥,维哥
YYJ,维多利亚国际机场,VICTORIA,维多利亚,维多利亚
PUE,奥瓦尔迪亚港机场,PUERTO OBALDIA,奥瓦尔迪亚,奥瓦尔迪亚港
ADA,阿达那机场,ADANA,阿达那,阿达那
DLM,达拉曼机场,DALAMAN,达拉曼,达拉曼
VAN,凡城机场,VAN,凡城,凡城
SFQ,萨利乌尔法机场,SANLIURFA,萨利乌尔法,萨利乌尔法
MLX,马拉提亚机场,MALATYA,马拉提亚,马拉提亚
GZT,奥古兹利机场,GAZIANTEP,加济安泰普,加济安泰普
ERZ,俄祖汝穆机场,ERZURUM,俄祖汝穆,俄祖汝穆
DIY,迪亚巴克尔机场,DIYARBAKIR,迪亚巴克尔,迪亚巴克尔
ASR,开塞利机场,KAYSERI,开塞利,开塞利
KYA,科尼亚机场,KONYA,科尼亚,科尼亚
SZF,萨姆松机场,CARSAMBA,萨姆松,萨姆松
TZX,特拉布宗机场,TRABZON,特拉布宗,特拉布宗
BJV,博德鲁姆机场,MILAS,博德鲁姆,博德鲁姆
DNZ,代尼兹利机场,CARDAK,代尼兹利,代尼兹利
EDO,埃德米特机场,EDREMIT/KORFEZ,埃德米特,埃德米特
TUF,图尔斯机场,ST SYMPHORIEN,图尔斯,图尔斯
ACE,兰萨罗特机场,LANZAROTE,兰萨罗特,兰萨罗特
IBZ,伊比萨机场,IBIZA,伊比萨,伊比萨
KZN,喀山机场,KAZAN,喀山,喀山
LEH,勒阿弗尔机场,OCTEVILLE,勒阿弗尔,勒阿弗尔
MAH,梅诺卡机场,MAHON,梅诺卡,梅诺卡
TCL,塔斯卡卢萨机场,VAN DE GRAAF,塔斯卡卢萨,塔斯卡卢萨
TCI,特内里费机场,METROPOLITAN AREA,特内里费,特内里费
TFN,诺特罗斯罗德奥斯机场,NORTE LOS RODEOS AIR,诺特罗斯罗德奥斯,特内里费
TFS,苏尔雷纳索菲亚机场,SUR REINA SOFIA,苏尔雷纳索菲亚,特内里费
HUI,普拜机场,PHU BAI,普拜,顺化
NHA,芽庄机场,NHA TRANG,芽庄,芽庄
KLO,卡利博机场,KALIBO,卡利博,卡利博
KMI,宫崎机场,MIYAZAKI,宫崎,宫崎
UUS,南萨哈林斯克机场,YUZHNO-SAKHALINSK,南..机场,南萨哈林斯克
BOI,博伊西机场,BOISE AIR TERMINAL (,博伊西,博伊西
GOJ,高尔基,NIZHNIY NOVGOROD,高尔基,下诺夫哥罗德
IVL,伊伐洛机场,IVALO,伊伐洛,伊伐洛
JOE,约恩苏机场,JOENSUU,约恩苏,约恩苏
JYV,于伐斯居拉机场,JYVASKYLA,于伐斯居拉,于伐斯居拉
KAJ,卡尼亚机场,KAJAANI,卡尼亚,卡尼亚
KAO,库萨莫机场,KUUSAMO,库萨莫,库萨莫
KOK,科科拉机场,KRUUNUPYY,科科拉,科科拉
KTT,基蒂拉机场,KITTILA,基蒂拉,基蒂拉
KUO,库奥皮欧机场,KUOPIO,库奥皮欧,库奥皮欧
MHQ,玛丽港机场,MARIEHAMN,玛丽港,玛丽港
OUL,奥卢机场,OULU,奥卢,奥卢
RVN,罗瓦涅米机场,ROVANIEMI,罗瓦涅米,罗凡涅米
TKU,图尔库机场,TURKU,图尔库,图尔库
TMP,坦佩雷机场,TAMPERE-PIRKKALA,坦佩雷,坦佩雷
VAA,瓦萨机场,VAASA,瓦萨,瓦萨
SKO,索科托机场,SOKOTO,索科托,索科托
KMQ,小松机场,KOMATSU,小松,小松
JJN,泉州晋江机场,QUANZHOU,泉州,泉州
PIX,皮克岛机场,PICO ISLAND,皮克岛,皮克岛
ROT,罗托鲁阿机场,ROTORUA,罗托鲁阿,罗托鲁瓦
NAR,纳雷机场,NARE,纳雷,纳雷
ACH,阿尔滕莱茵,ALTENRHEIN,阿尔滕莱茵,阿尔滕莱茵
KSC,科希策机场,BARCA,科希策,科希策
PRN,普里什蒂纳机场,PRISTINA,普里什蒂纳,普里什蒂纳
TSR,蒂米什瓦拉机场,TIMISOARA,蒂米什瓦拉,蒂米什瓦拉
TOD,刁曼机场  ,TIOMAN,刁曼机场,刁曼
TCZ,腾冲机场,TENG CHONG,驼峰,腾冲
JAC,杰克逊霍勒机场,JACKSON HOLE,杰克逊霍勒,杰克逊
BUR,鲍勃霍普机场,BOB HOPE AIRPORT,鲍勃霍普,伯班克
BIL,比灵斯机场,BILLINGS,比灵斯,比灵斯
ABQ,阿尔伯克基国际机场,ALBUQUERQUE,阿尔伯克基,阿尔伯克基
HDN,亚姆帕瓦雷机场,YAMPA VALLEY AIRPORT,亚姆帕瓦雷,海登
ICT,米德康提嫩特机场,MID-CONTINENT,,威奇托市
TUL,塔尔萨国际机场,TULSA,塔尔萨,塔尔萨
GRR,肯特郡国际机场,KENT COUNTY,肯特郡,大急流城
ROC,罗切斯特机场,MONROE COUNTY,罗切斯特,罗切斯特
OGG,卡胡卢伊机场,KAHULUI, 卡胡卢伊（茂宜）,卡胡卢伊
KOA,科纳机场,KEAHOLE,科纳,科纳
ALB,奥尔巴尼国际机场,ALBANY,奥尔巴尼,奥尔巴尼
SCE,大学公园机场,UNIVERSITY PARK,大学公园,斯泰特科利奇
MDT,哈里斯堡国际机场,HARRISBURG,哈里斯堡,哈里斯堡
RIC,里士满国际机场,RICHMOND   (BYRD FIE,里士满,里士满
RSW,西南佛罗里达地区机场,SOUTHWEST FLORIDA RE,西南佛罗里达地区,迈尔斯堡
FMY,佩吉机场,PAGE FIELD,佩吉,迈尔斯堡
PBI,西棕榈滩国际机场,WEST PALM BEACH,西棕榈滩,西棕榈滩
FLL,劳德代尔机场,FT. LAUDERDALE,劳德代尔,劳德代尔
HFD,布莱纳德机场,BRAINARD,布莱纳德,哈特福德
BDL,布莱德雷国际机场,BRADLEY,布莱德雷,哈特福德
MHT,曼彻斯特地方机场,MANCHESTER MUNICIPAL,曼彻斯特,曼彻斯特
PVD,西奥多弗郎西丝机场,THEODORE FRANCIS,西奥多弗郎西丝,普罗维登斯
SJC,圣何塞地方机场,SAN JOSE MUNICIPAL,圣何塞,圣何塞
SMF,萨克拉门托大都会机场,SACRAMENTO METROPOLI,萨克拉门托,萨克拉门托
BPL,新疆博乐机场,BOLE,,博乐
MXZ,梅县机场 ,MEI XIAN,,梅州
SNN,香农机场,SHANNON,香农,香农
LPA,德格兰卡纳里亚机场,AIRPORT DE GRAN CANA,德格兰卡纳里亚,拉斯帕尔马斯
LCG,拉科鲁利亚机场,LA CORUNA,拉科鲁利亚,拉科鲁利亚
LPL,利物浦－约翰列农机场,LIVERPOOL JOHN LENNO,利物浦－约翰列农,利物浦
BNA,纳什维尔机场,NASHVILLE METROPOLIT,纳什维尔,纳什维尔
